Date,TCS.NS,INFY.NS,HDFCBANK.NS,RELIANCE.NS,ICICIBANK.NS
2018-04-11,1260.1751708984375,451.68426513671875,447.70306396484375,411.185302734375,273.3211669921875
2018-04-12,1312.4779052734375,467.092041015625,450.02459716796875,410.2356262207031,275.434326171875
2018-04-13,1318.3521728515625,470.6476135253906,449.1379699707031,414.7191162109375,276.87518310546875
2018-04-16,1332.7135009765625,455.2800598144531,453.127685546875,413.9240417480469,276.2508544921875
2018-04-17,1323.9127197265625,452.06597900390625,454.6209411621094,417.1045227050781,280.2370910644531
2018-04-18,1320.77685546875,452.3672790527344,450.91119384765625,414.3436584472656,278.6040954589844
2018-04-19,1334.1763916015625,455.1395263671875,452.4044494628906,416.2431335449219,278.17193603515625
2018-04-20,1422.5185546875,473.4599609375,456.3475341796875,409.8822021484375,271.0158996582031
2018-04-23,1425.1103515625,477.17626953125,451.6461181640625,413.46026611328125,268.3744201660156
2018-04-24,1415.4947509765625,463.8377380371094,451.47113037109375,428.50115966796875,272.8889465332031
2018-04-25,1450.8648681640625,466.1880798339844,448.1463928222656,428.6999816894531,267.8941345214844
2018-04-26,1479.712646484375,472.6563720703125,450.3628845214844,430.8423767089844,267.84613037109375
2018-04-27,1443.2135009765625,476.171875,448.7646484375,440.09661865234375,276.5390319824219
2018-04-30,1476.7236328125,481.9171447753906,453.6409912109375,425.51947021484375,272.9850158691406
2018-05-02,1463.1982421875,480.93280029296875,459.5206604003906,429.67181396484375,265.9731140136719
2018-05-03,1455.714599609375,475.1072082519531,459.1473693847656,424.7685241699219,270.7757568359375
2018-05-04,1455.25439453125,471.3104248046875,463.9537048339844,421.3893127441406,271.6882629394531
2018-05-07,1430.2528076171875,475.2879638671875,461.36383056640625,428.92083740234375,278.3640441894531
2018-05-08,1438.71923828125,468.2771911621094,458.94903564453125,427.1980895996094,297.094482421875
2018-05-09,1458.829345703125,470.3462829589844,461.59716796875,431.43865966796875,294.693115234375
2018-05-10,1442.9212646484375,469.26153564453125,464.9336242675781,433.4043884277344,294.7411804199219
2018-05-11,1445.3040771484375,474.3840637207031,469.3783264160156,436.9823913574219,298.6794128417969
2018-05-14,1435.5211181640625,477.8191833496094,471.7115478515625,435.81182861328125,297.8629455566406
2018-05-15,1455.9444580078125,479.92840576171875,475.4563293457031,432.4325866699219,296.0859375
2018-05-16,1460.752197265625,478.08026123046875,472.0848388671875,422.361083984375,285.52001953125
2018-05-17,1459.8743896484375,475.2477722167969,473.1114501953125,417.5904235839844,284.3193664550781
2018-05-18,1464.1597900390625,475.368408203125,469.4716491699219,412.51055908203125,274.80999755859375
2018-05-21,1487.029296875,473.8818664550781,465.0152893066406,411.40625,277.8836975097656
2018-05-22,1467.02392578125,479.6471252441406,464.28033447265625,409.3742370605469,278.8442687988281
2018-05-23,1461.2540283203125,476.0514221191406,459.0539855957031,402.9691162109375,280.5252380371094
2018-05-24,1506.658447265625,490.5550537109375,463.37042236328125,404.5593566894531,285.9522705078125
2018-05-25,1499.1749267578125,493.48797607421875,468.6667175292969,406.7459411621094,283.983154296875
2018-05-28,1464.1597900390625,487.9034729003906,476.4828796386719,406.5692138671875,287.4411315917969
2018-05-29,1473.1278076171875,488.8274230957031,474.2430419921875,405.26611328125,278.4600524902344
2018-05-30,1469.1978759765625,486.81866455078125,477.9178161621094,404.6697692871094,273.6573486328125
2018-05-31,1467.93310546875,494.8941650390625,502.36138916015625,406.9888916015625,274.5218200683594
2018-06-01,1460.68212890625,490.4747314453125,495.5871887207031,411.05279541015625,277.8836975097656
2018-06-04,1470.6307373046875,497.9476013183594,480.4654235839844,415.6026916503906,275.434326171875
2018-06-05,1451.5341796875,490.4946594238281,484.5511474609375,418.6064147949219,272.8889465332031
2018-06-06,1455.033203125,497.1640319824219,483.0836486816406,421.5881042480469,272.69683837890625
2018-06-07,1463.2958984375,503.19061279296875,484.22235107421875,429.0754089355469,279.4206237792969
2018-06-08,1473.03369140625,506.243896484375,481.2051696777344,434.81793212890625,276.87518310546875
2018-06-11,1475.2257080078125,507.1881408691406,479.54974365234375,434.0669860839844,275.0981750488281
2018-06-12,1501.6158447265625,505.6212158203125,479.9136657714844,440.47210693359375,276.0587158203125
